Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-10-20 00:22:12,0.22472,0.08490,0.08490,0.00000
2023-10-20 00:22:13,0.17037,0.08591,0.08591,0.00000
2023-10-20 00:22:14,0.15433,0.08746,0.08746,0.00000
2023-10-20 00:22:15,0.16976,0.08536,0.08536,0.00000
2023-10-20 00:22:16,0.15625,0.08591,0.08591,0.00000
2023-10-20 00:22:17,0.16230,0.08652,0.08652,0.00000
2023-10-20 00:22:18,0.16145,0.08545,0.08545,0.00000
2023-10-20 00:22:19,0.17830,0.08649,0.08649,0.00000
2023-10-20 00:22:20,0.14650,0.08725,0.08725,0.00000
