940,124
759,214
995,44
947,122
788,240
227,281
228,349
1002,42
1488,1017
102,214
148,324
104,211
162,322
206,353
249,972
102,213
232,277
229,319
1308,985
106,211
214,327
1316,989
107,215
214,350
258,974
329,397
338,399
543,811
1808,124
1806,125
1806,111
536,729
337,401
539,810
1807,121
1804,108
545,740
1798,127
1791,98
1757,138
1752,93
1579,128
1794,100
334,403
543,811
569,999
696,867
1620,995
336,396
541,810
1807,132
1737,100
1475,43
772,1000
716,197
415,323
800,649
1197,1047
148,521
242,1060
141,891
138,982
140,985
168,984
186,942
721,206
479,359
771,636
1195,1051
239,984
1729,974
174,1005
174,961
719,201
410,339
795,655
1193,1050
145,518
248,1055
98,1005
98,1005
1598,1019
243,1012
251,1053
539,965
