Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-10-20 00:23:30,0.32443,0.08334,0.08334,0.00000
2023-10-20 00:23:31,0.22250,0.08551,0.08551,0.00000
2023-10-20 00:23:32,0.22375,0.08600,0.08600,0.00000
2023-10-20 00:23:33,0.26947,0.08569,0.08569,0.00000
2023-10-20 00:23:34,0.28642,0.08411,0.08411,0.00000
2023-10-20 00:23:35,0.22500,0.08603,0.08603,0.00000
2023-10-20 00:23:36,0.23737,0.08582,0.08582,0.00000
2023-10-20 00:23:37,0.25310,0.08575,0.08575,0.00000
2023-10-20 00:23:38,0.22153,0.08600,0.08600,0.00000
