Date,CPU Utilization,CPU Power
2023-10-20 00:24:28,0.00998,0.00278
2023-10-20 00:24:29,0.01125,0.00450
2023-10-20 00:24:30,0.00000,0.00000
2023-10-20 00:24:31,0.02043,0.00857
2023-10-20 00:24:32,0.01008,0.00400
2023-10-20 00:24:33,0.01001,0.00332
2023-10-20 00:24:34,0.01998,0.00764
2023-10-20 00:24:35,0.01015,0.00410
2023-10-20 00:24:36,0.01010,0.00427
