Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-10-20 00:24:28,0.30050,0.08389,0.08389,0.00000
2023-10-20 00:24:29,0.21000,0.08401,0.08401,0.00000
2023-10-20 00:24:30,0.21320,0.08420,0.08420,0.00000
2023-10-20 00:24:31,0.20179,0.08463,0.08463,0.00000
2023-10-20 00:24:32,0.21285,0.08441,0.08441,0.00000
2023-10-20 00:24:33,0.25282,0.08395,0.08395,0.00000
2023-10-20 00:24:34,0.22222,0.08502,0.08502,0.00000
2023-10-20 00:24:35,0.21066,0.08517,0.08517,0.00000
2023-10-20 00:24:36,0.19949,0.08429,0.08429,0.00000
