run_id,app_type,microphone,camera,screen,duration,app,network,memory,energy,cpu
170-w,web,1,1,0,2,2,25493,2.73966,10.11486,0.16006
171-w,web,1,0,1,2,1,10040,2.87458,10.21295,0.15919
172-w,web,1,1,1,2,1,14394,2.96239,10.17882,0.18348
173-w,web,1,0,1,2,1,10308,2.91186,10.16709,0.1552
174-w,web,1,1,0,8,2,99250,2.71052,40.7734800000002,0.13814
175-w,web,1,1,0,8,1,103003.25,2.80107,40.8004800000002,0.18062
176-w,web,1,0,1,8,3,77340,3.08047,40.9182700000002,0.17521
177-w,web,1,1,1,8,3,103003.25,3.23259125,40.9753000000002,0.20644
178-w,web,1,1,1,8,2,103003.25,3.10318,40.5225300000002,0.18769
179-w,web,1,0,1,8,1,39968,2.80532,40.9815800000002,0.15432
18-w,web,1,0,0,2,1,1643,2.9,10.25446,0.13589
180-w,web,1,1,1,8,3,103003.25,3.23259125,40.9274300000002,0.20691
181-w,web,1,1,0,2,3,30486,2.95214,10.24996,0.15273
182-w,web,1,0,1,2,3,19101,3.00678,10.12899,0.17481
183-w,web,1,1,1,2,2,49889,3.10932,10.13046,0.19498
184-w,web,1,0,0,8,3,30424,2.60494,41.5436300000002,0.09204
185-w,web,1,0,0,8,1,28660,2.71028,41.2238500000002,0.12408
186-w,web,1,0,0,2,3,7941,2.61983,10.3101,0.09294
187-w,web,1,0,1,2,1,9930,2.82222,10.23046,0.15756
188-w,web,1,1,0,8,1,102000,2.80556,40.9160400000002,0.18037
189-w,web,1,1,0,2,2,25360,2.74359,10.14746,0.13906
19-w,web,1,1,1,2,1,1692,2.9,10.27999,0.13573
190-w,web,1,0,1,2,3,16894,3.00932,10.19003,0.16963
191-w,web,1,0,0,8,2,64368,2.57908125,41.2908500000002,0.09589
192-w,web,1,1,0,2,2,25532,2.74655,10.16692,0.14909
2-w,web,1,1,1,8,1,52974,2.99596,41.12835,0.18966
20-w,web,1,0,0,8,1,6733,2.9,41.30209,0.13425
21-w,web,1,0,1,2,2,1688,2.9,10.23753,0.13424
22-w,web,1,0,1,2,1,1656,2.91111,10.26616,0.13286
23-w,web,1,1,0,8,2,6640,2.90129,41.32663,0.13303
24-w,web,1,1,1,2,1,1822,2.9,10.23211,0.13407
25-w,web,1,1,1,8,1,6674,2.91867,41.31106,0.13426
26-w,web,1,1,0,8,2,6689,2.90172,41.34127,0.13361
27-w,web,1,0,1,2,2,1648,2.90171,10.25562,0.13338
28-w,web,1,0,0,2,2,1811,2.90259,10.25503,0.13489
29-w,web,1,0,0,8,3,6584,2.90043,41.32647,0.13247
3-w,web,1,0,0,8,3,7624,2.88737,40.71329,0.13858
30-w,web,1,0,1,8,2,6895,2.90107,41.27538,0.1309
31-w,web,1,1,0,8,2,6846,2.90129,41.29808,0.13182
32-w,web,1,0,1,8,1,6575,2.90408,41.27813,0.13211
33-w,web,1,0,1,2,2,1669,2.9,10.28806,0.11397
34-w,web,1,0,0,2,3,1682,2.90342,10.31922,0.11403
35-w,web,1,0,1,2,1,1638,2.9,10.31412,0.11401
36-w,web,1,0,0,2,1,1685,2.9069,10.32384,0.11448
37-w,web,1,0,0,8,3,6793,2.90129,41.47433,0.11383
38-w,web,1,0,1,2,3,1641,2.90171,10.27255,0.11578
39-w,web,1,0,0,8,1,6728,2.90366,41.49533,0.1144
4-w,web,1,1,1,2,2,1650,2.89828,10.04778,0.1314
40-w,web,1,0,1,2,1,1640,2.90517,10.30323,0.11419
41-w,web,1,0,0,2,3,1680,2.9069,10.28254,0.11537
42-w,web,1,1,1,2,1,1640,2.90517,10.27922,0.11473
43-w,web,1,0,0,2,2,1648,2.90256,10.2827,0.11436
44-w,web,1,1,0,2,3,1633,2.9094,10.34713,0.11372
45-w,web,1,0,0,8,1,6598,2.90559,41.50623,0.11387
46-w,web,1,0,1,8,2,6971,2.90774,41.48461,0.11511
47-w,web,1,1,1,8,1,6582,2.91097,41.48911,0.11421
48-w,web,1,0,0,8,1,6678,2.90622,41.48754,0.11502
49-w,web,1,1,1,8,1,6941,2.903,41.4783,0.11506
5-w,web,1,1,0,8,3,6667,2.89957,40.94124,0.13058
50-w,web,1,1,0,8,3,6611,2.90925,41.40994,0.11469
51-w,web,1,0,1,2,2,1693,2.90427,10.35496,0.11625
52-w,web,1,1,1,2,1,1648,2.91293,10.29515,0.11416
53-w,web,1,1,1,8,2,6979,2.90408,41.43045,0.11438
54-w,web,1,1,1,8,2,6634,2.90408,41.44533,0.11464
55-w,web,1,1,1,2,3,1717,3.00256,10.29296,0.11482
56-w,web,1,1,1,8,2,6594,2.90386,41.47492,0.11399
57-w,web,1,1,1,8,3,6790,2.90451,41.52841,0.11463
58-w,web,1,0,0,8,3,6681,2.90409,41.4483800000001,0.11435
59-w,web,1,0,0,8,3,6638,2.90794,41.4996500000001,0.11377
6-w,web,1,0,0,2,1,1635,2.9,10.28642,0.12818
60-w,web,1,0,0,8,1,6787,2.9015,41.34114,0.12262
61-w,web,1,0,0,2,3,1642,2.90427,10.27434,0.12265
62-w,web,1,1,0,2,1,1688,2.90172,10.26554,0.12161
63-w,web,1,0,0,8,2,6633,2.90343,41.36308,0.12198
64-w,web,1,1,1,8,2,6903,2.90151,41.36794,0.12231
65-w,web,1,0,1,8,2,6605,2.90322,41.3904,0.12153
66-w,web,1,1,1,8,1,6604,2.99979,41.3852800000001,0.12178
67-w,web,1,1,0,8,1,6899,3,41.3164,0.12264
68-w,web,1,0,1,2,2,1643,3.00259,10.29265,0.12297
69-w,web,1,0,0,8,2,6645,2.98069,41.36775,0.12187
7-w,web,1,0,1,8,3,6853,2.9,41.39579,0.12989
70-w,web,1,0,0,2,2,1637,2.9,10.23993,0.12254
71-w,web,1,1,0,2,3,1633,2.90517,10.26019,0.12288
72-w,web,1,1,0,2,1,1749,2.9,10.28143,0.12277
73-w,web,1,1,1,8,1,6570,2.90515,41.3152300000001,0.12239
74-w,web,1,0,1,8,3,6593,2.90065,41.36038,0.12295
75-w,web,1,1,0,2,1,1634,2.90345,10.26996,0.12252
76-w,web,1,1,1,2,2,1685,2.9,10.27727,0.12171
77-w,web,1,1,0,2,1,1653,2.90776,10.26293,0.1244
78-w,web,1,1,1,8,2,6737,2.90086,41.3309200000001,0.12261
79-w,web,1,1,0,2,3,1706,2.9,10.23476,0.12176
8-w,web,1,1,1,8,3,6670,2.90021,41.35561,0.12947
80-w,web,1,1,0,2,2,1661,2.90855,10.28753,0.12256
81-w,web,1,0,1,2,2,1682,2.93675,10.27052,0.12156
82-w,web,1,0,1,8,2,6744,2.90215,41.3063400000001,0.12267
83-w,web,1,1,1,2,2,1638,2.98707,10.28383,0.12234
84-w,web,1,1,1,8,3,6723,2.90043,41.34586,0.12261
85-w,web,1,0,1,8,1,6957,2.90386,41.2039100000001,0.13131
86-w,web,1,0,1,8,1,6563,2.90515,41.31152,0.12197
87-w,web,1,1,0,2,3,1679,2.9,10.25532,0.12172
88-w,web,1,0,0,8,3,30524,2.60494,41.5034,0.09336
89-w,web,1,0,0,2,2,16417,2.57908125,10.24341,0.09776
9-w,web,1,0,1,8,3,6559,2.9,41.4224399999999,0.12844
90-w,web,1,1,1,8,2,103003.25,3.10212,40.56297,0.17644
91-w,web,1,1,0,2,3,29127,2.99316,10.15868,0.15167
92-w,web,1,1,0,8,1,103003.25,2.80557,40.8434500000001,0.18135
94-w,web,1,1,0,2,1,28897,2.82222,10.20972,0.18581
95-w,web,1,1,0,8,3,103003.25,2.98972,40.77544,0.15379
96-w,web,1,1,0,8,1,103003.25,2.80598,40.93985,0.1867
97-w,web,1,1,0,2,2,24422,2.74103,10.21263,0.14117
98-w,web,1,1,0,8,1,100397,2.80557,40.88236,0.18436
99-w,web,1,0,0,8,2,64274,2.57908125,41.26468,0.11039
93-w,web,1,0,0,2,3,1642,2.90427,10.27434,0.12265
1-e,electron,1,1,0,2,3,30699,2.2,10.17521,0.17783
10-e,electron,1,0,0,8,3,4317,2,41.30763,0.11081
100-e,electron,1,1,0,8,2,99046,2.00064,40.97602,0.15298
101-e,electron,1,0,1,8,2,150621.25,2.16752,40.66292,0.19854
102-e,electron,1,0,1,8,2,150621.25,2.15275,40.64525,0.20094
103-e,electron,1,0,1,8,1,10558,1.80363,40.83995,0.14468
104-e,electron,1,0,1,2,2,42126,2.14322,10.07795,0.19804
105-e,electron,1,1,0,8,2,98180,2.00043,40.9973100000001,0.14763
106-e,electron,1,0,0,8,2,63850,1.90043,41.4337,0.10449
107-e,electron,1,0,1,8,3,8731,2.30128,40.93826,0.17799
108-e,electron,1,1,0,2,1,21525,1.74103,10.14194,0.21243
109-e,electron,1,0,0,8,2,63916,1.89764,41.39992,0.10282
11-e,electron,1,1,0,8,1,75011,1.71581,40.46396,0.19002
110-e,electron,1,1,1,8,2,150621.25,2.28047,40.38616,0.20541
111-e,electron,1,0,1,8,1,13309,1.80385,40.6861,0.13956
112-e,electron,1,1,0,2,2,22702,2.00171,10.23144,0.14733
113-e,electron,1,1,0,2,1,20416,1.74701,10.13215,0.20762
114-e,electron,1,1,1,2,1,14323,1.84274,10.15944,0.16618
115-e,electron,1,0,0,2,3,8471,2.05299,10.1275,0.1158
116-e,electron,1,1,1,2,3,30629,2.42034,10.27,0.2077
117-e,electron,1,0,0,2,1,3828,1.71121,10.24164,0.08418
118-e,electron,1,1,0,2,3,30426,2.20427,10.06648,0.18032
119-e,electron,1,1,1,8,3,115102,2.40746,41.01297,0.21057
12-e,electron,1,0,1,2,3,1766,2.30342,10.13247,0.17736
120-e,electron,1,1,1,2,1,15657,1.85726,10.19459,0.16633
121-e,electron,1,0,0,2,2,14162,1.92586,10.27827,0.10343
122-e,electron,1,0,1,2,1,4760,1.81026,10.20799,0.13819
123-e,electron,1,0,1,8,3,9012,2.30085,41.03396,0.17704
124-e,electron,1,0,1,2,1,4434,1.81026,10.1551,0.13862
125-e,electron,1,0,0,8,1,6270,1.66882,41.22632,0.07997
126-e,electron,1,0,0,8,2,53069,1.90043,41.37651,0.09584
127-e,electron,1,0,0,2,1,3955,1.70776,10.21849,0.08345
128-e,electron,1,1,1,2,2,50477,2.29915,10.03987,0.22099
129-e,electron,1,0,1,2,2,42383,2.17542,10.02181,0.19714
13-e,electron,1,1,0,8,3,116593,2.20299,40.6369,0.17874
130-e,electron,1,0,0,2,1,3654,1.70769,10.26462,0.08333
131-e,electron,1,0,0,8,1,3798,1.7,40.94517,0.08524
132-e,electron,1,1,0,8,3,130292,2.20425,41.40596,0.183
133-e,electron,1,1,0,8,3,107586,2.16964,41.67053,0.17756
134-e,electron,1,1,0,2,2,24564,2.2,10.11323,0.19089
135-e,electron,1,1,0,2,1,20111,1.74444,10.06052,0.2042
136-e,electron,1,0,1,8,2,64393,2.20491,40.73806,0.18193
137-e,electron,1,1,0,8,3,109344,2.18085,41.54902,0.17848
138-e,electron,1,1,0,8,2,64217,2.20043,40.6266399999999,0.18181
139-e,electron,1,1,1,2,3,36360,2.4188,10.23211,0.22019
14-e,electron,1,1,0,8,1,74010,1.66175,40.5911,0.1896
140-e,electron,1,0,0,8,1,6268,1.63075,41.07944,0.07977
141-e,electron,1,1,0,8,3,120485,2.20278,40.88198,0.17922
142-e,electron,1,1,0,8,3,119331,2.20064,40.4739500000002,0.17835
143-e,electron,1,1,0,2,2,22221,2.00256,10.26462,0.14928
144-e,electron,1,1,0,2,1,23006,1.74444,10.06103,0.1848
145-e,electron,1,0,1,8,2,150621.25,2.15508,40.8891700000002,0.19984
146-e,electron,1,1,0,8,3,126483,2.2032,40.7983400000002,0.17924
147-e,electron,1,1,0,8,2,87119,2.00128,40.8808100000002,0.14334
148-e,electron,1,1,1,2,3,26906,2.41795,10.24318,0.21424
149-e,electron,1,0,1,2,3,3533,2.30339,10.21538,0.17648
15-e,electron,1,0,1,2,3,1763,2.30339,10.2046,0.17686
150-e,electron,1,1,0,8,3,125332,2.1113,40.4890700000002,0.17934
151-e,electron,1,1,1,2,1,17087,1.85214,10.27482,0.16686
152-e,electron,1,0,1,8,1,10485,1.8047,40.9688700000002,0.13948
153-e,electron,1,1,1,2,3,27066,2.41864,10.20504,0.20956
154-e,electron,1,0,0,2,2,14235,1.92586,10.27389,0.10398
155-e,electron,1,0,0,2,1,3786,1.70776,10.21667,0.08324
156-e,electron,1,0,0,2,2,14213,1.90171,10.28564,0.10031
157-e,electron,1,0,0,2,2,14148,1.90085,10.2563,0.10159
158-e,electron,1,0,1,2,3,3526,2.30598,10.28749,0.18172
159-e,electron,1,0,0,2,1,3848,1.66552,10.21624,0.08183
16-e,electron,1,1,1,2,2,51774,2.30513,10.07747,0.22851
160-e,electron,1,0,0,2,3,8238,2.00171,10.22756,0.11427
161-e,electron,1,1,1,8,1,58477,1.82473,41.10064,0.17527
162-e,electron,1,1,1,2,2,16179,2.20513,10.13196,0.18781
163-e,electron,1,1,1,2,3,30151,2.42393,10.11371,0.21831
164-e,electron,1,1,1,2,3,32703,2.42051,10.16224,0.2198
165-e,electron,1,0,1,8,1,13426,1.74551,40.6230799999999,0.1476
166-e,electron,1,1,1,2,3,37424,2.42458,10.19617,0.22507
167-e,electron,1,1,1,8,3,127166,2.40447,40.92283,0.22293
168-e,electron,1,0,1,2,3,7032,2.30342,10.19306,0.18578
169-e,electron,1,1,1,8,1,54697,1.83397,40.8991199999999,0.17297
17-e,electron,1,0,0,2,3,1120,2.00427,10.31443,0.10281
170-e,electron,1,1,1,8,3,118562,2.40489,41.0468400000002,0.21522
171-e,electron,1,1,1,2,2,50254,2.3,9.97986,0.2252
172-e,electron,1,0,1,8,3,8747,2.30085,40.6673800000002,0.17751
173-e,electron,1,1,0,2,2,22573,2.00171,10.23785,0.15196
174-e,electron,1,0,1,8,2,150621.25,2.18411,40.7468000000002,0.19845
175-e,electron,1,1,0,8,1,75416,1.7188,40.54116,0.20337
176-e,electron,1,0,1,8,3,22890,2.28846,40.8494,0.18591
177-e,electron,1,1,1,8,3,127545,2.41002,40.87616,0.22395
