X.mwu_result_energy_2_micon.,X.0.0280839143042824.,NA_character_.,X.0.371527777777778.
mwu_result_energy_2_micon,0.0280839143042824,0.0390732720755233,0.371527777777778
mwu_result_energy_2_camera,0.830166612296523,0.916045917016853,-0.0381944444444444
mwu_result_energy_2_screen_mic,0.991773201478523,0.991773648049486,-0.00347222222222222
mwu_result_energy_2_camera_mic,0.983548170539332,0.991773648049486,-0.00520833333333333
mwu_result_cpu_2_micon,3.55782880440618e-05,8.75773244161521e-05,0.697916666666667
mwu_result_cpu_2_camera,0.00160952945595772,0.00257524712953235,-0.520833333333333
mwu_result_cpu_2_screen_mic,0.000693082313868725,0.00123214633576662,-0.572916666666667
mwu_result_cpu_2_camera_mic,0.0096580778461623,0.0140481132307815,-0.4375
mwu_result_network_2_micon,0.991773648049486,0.991773648049486,-0.00347222222222222
mwu_result_network_2_camera,0.427266362225957,0.506389762638171,-0.135416666666667
mwu_result_network_2_screen_mic,0.0928242844950821,0.123765712660109,-0.284722222222222
mwu_result_network_2_camera_mic,0.134923478657927,0.171685048496486,-0.253472222222222
mwu_result_memory_2_micon,2.92836156460705e-09,8.16177244811413e-09,1
mwu_result_memory_2_camera,3.018944498139e-09,8.16177244811413e-09,1
mwu_result_memory_2_screen_mic,2.9894552595634e-09,8.16177244811413e-09,1
mwu_result_memory_2_camera_mic,2.85144799767297e-09,8.16177244811413e-09,1
mwu_result_energy_8_micon,3.0606646680428e-09,8.16177244811413e-09,1
mwu_result_energy_8_camera,6.20201122431972e-14,1.98464359178231e-12,1
mwu_result_energy_8_screen_mic,3.05168165750118e-09,8.16177244811413e-09,1
mwu_result_energy_8_camera_mic,3.0606646680428e-09,8.16177244811413e-09,1
mwu_result_cpu_8_micon,6.05566257239804e-05,0.000138415144511955,0.677083333333333
mwu_result_cpu_8_camera,0.000643356671927683,0.00121102432362858,-0.576388888888889
mwu_result_cpu_8_screen_mic,0.0017208122857232,0.00262219014967345,-0.529513888888889
mwu_result_cpu_8_camera_mic,0.000473669715038578,0.000947339430077156,-0.590277777777778
mwu_result_network_8_micon,0.0011634865295343,0.00195955626026829,0.548611111111111
mwu_result_network_8_camera,0.139494101903395,0.171685048496486,0.25
mwu_result_network_8_screen_mic,0.000153619213142903,0.000327720988038193,0.638888888888889
mwu_result_network_8_camera_mic,0.828202486886219,0.916045917016853,-0.0381944444444444
mwu_result_memory_8_micon,2.96022286619276e-09,8.16177244811413e-09,1
mwu_result_memory_8_camera,2.99239259312972e-09,8.16177244811413e-09,1
mwu_result_memory_8_screen_mic,3.02190762386942e-09,8.16177244811413e-09,1
mwu_result_memory_8_camera_mic,2.98652049443887e-09,8.16177244811413e-09,1
